time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-08T02:44:55.010Z,24.8786,122.5749,10,4.1,mb,,78,0.57,0.46,us,us7000ec43,2021-08-24T21:33:16.040Z,"62 km NW of Yonakuni, Japan",earthquake,4.9,1.3,0.197,7,reviewed,us,us
2021-06-08T02:44:14.980Z,19.2305,-63.7866,96,3.94,md,12,344,1.7577,0.28,pr,pr2021159000,2021-08-24T21:34:24.040Z,"135 km NNW of Sandy Ground Village, Anguilla",earthquake,6.69,8.29,0.05,7,reviewed,pr,pr
2021-06-08T02:29:53.387Z,17.6162,145.4814,185.19,4.3,mb,,127,4.047,0.35,us,us7000ec42,2021-08-24T21:33:16.040Z,"267 km N of Saipan, Northern Mariana Islands",earthquake,7.6,9.3,0.119,20,reviewed,us,us
2021-06-08T01:44:17.232Z,40.7228,-115.7764,16.7,3.3,ml,10,143.34,0.408,0.1971,nn,nn00809031,2021-08-31T17:40:48.331Z,"12 km S of Elko, Nevada",earthquake,,5,0.04,7,reviewed,nn,nn
2021-06-08T01:19:15.059Z,37.8148,141.8306,58.22,4.8,mb,,88,3.029,0.84,us,us7000eays,2021-08-24T21:34:26.040Z,"81 km SE of Ishinomaki, Japan",earthquake,5.1,5,0.03,345,reviewed,us,us
2021-06-08T00:04:04.391Z,24.9134,122.6191,10,4.4,mb,,73,0.569,0.56,us,us7000ec41,2021-08-24T21:33:17.040Z,"62 km NW of Yonakuni, Japan",earthquake,4.4,1.8,0.149,13,reviewed,us,us
2021-06-07T23:12:19.546Z,37.4974,72.381,202.03,4.1,mb,,79,1.486,0.67,us,us7000eaxx,2021-08-24T21:34:26.040Z,"60 km N of Khand?d, Afghanistan",earthquake,7.8,9.1,0.234,5,reviewed,us,us
2021-06-07T22:22:02.870Z,37.4306667,-118.5005,5.14,2.73,md,28,60,0.057,0.07,nc,nc73571316,2021-08-24T21:34:27.040Z,"9km NNW of West Bishop, CA",earthquake,0.23,0.69,0.197,39,reviewed,nc,nc
2021-06-07T21:46:43.980Z,33.1673333,-115.6413333,4.67,2.69,ml,67,24,0.02227,0.23,ci,ci39928832,2021-08-24T21:34:27.040Z,"13km WNW of Calipatria, CA",earthquake,0.17,0.36,0.144,20,reviewed,ci,ci
2021-06-07T21:41:10.852Z,10.2413,126.1873,35,5.2,mww,,37,3.208,0.89,us,us7000eax3,2021-08-24T21:34:27.040Z,"29 km NNE of Santa Monica, Philippines",earthquake,7.8,1.9,0.06,27,reviewed,us,us
2021-06-07T21:24:52.050Z,33.1583333,-115.6401667,5.46,3.61,mw,95,24,0.02806,0.26,ci,ci39928744,2021-08-24T21:34:28.040Z,"12km WNW of Calipatria, CA",earthquake,0.16,0.39,,4,reviewed,ci,ci
2021-06-07T21:19:11.490Z,33.1566667,-115.6398333,5.88,3.35,ml,79,25,0.02902,0.23,ci,ci39928712,2021-08-24T21:34:28.040Z,"12km WNW of Calipatria, CA",earthquake,0.17,0.34,0.138,234,reviewed,ci,ci
